Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1072,430,"F-PTL-1",A,"State Police Patrol - Troop F - Logan Airport",Law Dispatch,"State Police Troop F - Massport Airports"
1328,530,"F-PTL-2",A,"State Police Patrol - Troop F - Hanscom Field",Law Dispatch,"State Police Troop F - Massport Airports"
1360,550,"F-PTL-3",A,"State Police Patrol - Troop F - Worcester Airport",Law Dispatch,"State Police Troop F - Massport Airports"
8112,1fb0,"MassPort WA",A,"Wide-Area",Interop,"Port Authority (MassPort)"
8272,2050,"Plym Cnty SH",A,"Sheriff",Law Dispatch,"Plymouth County"
9072,2370,"EOPS",A,"Executive Office of Public Safety",Multi-Talk,"Mass Government Miscellaneous"
9136,23b0,"SFM-1",A,"Old State Fire Marshall",Fire-Talk,"Mass Government Miscellaneous"
9168,23d0,"SFM-2",A,"Old State Fire Marshall",Fire-Talk,"Mass Government Miscellaneous"
9264,2430,"Nflk Cnty SH",a,"Sheriff",Law Dispatch,"Norfolk County"
9296,2450,"DOC",A,"Department of Correction",Corrections,"Mass Dept. of Corrections (DOC)"
9328,2470,"Bris Cnty SH",A,"Sheriff",Law Dispatch,"Bristol County"
9360,2490,"DYS",A,"DYS (Mass Department of Youth Services) Security",Security,"Mass Government Miscellaneous"
9424,24d0,"Insp General",A,"Inspector General",Multi-Talk,"Mass Government Miscellaneous"
9744,2610,"Massport Tie",A,"Massport Tie (Logan Airport Emergency)",Emergency Ops,"Port Authority (MassPort)"
9904,26b0,"HOV",A,"Southeast Expressway HOV lane ops",Public Works,"Unclassified"
10032,2730,"WorcFD AWide",A,"Worcester Fire Area Wide",Fire-Tac,"Worcester County"
10064,2750,"WorcPD AWide",A,"Worcester Police Area Wide",Law Tac,"Worcester County"
10096,2770,"WorcEMS Wide",A,"Worcester EMS Area Wide",EMS-Tac,"Worcester County"
10224,27f0,"Bldg Alarms",A,"Data - Building Alarms",Data,"Unclassified"
10480,28f0,"DCR ATG",A,"DCR ATG",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10512,2910,"DCR Cent 1",A,"DCR - Central 1",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10544,2930,"DCR Cent 2",A,"DCR - Central 2",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10576,2950,"DCR Cent 3",A,"DCR - Central 3",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10608,2970,"DCR Cent 4",A,"DCR - Central 4 (Island District)",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10640,2990,"DCR Cent 5",A,"DCR - Central 5 (Blue Hills)",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10672,29b0,"DCR Resv 1",A,"DCR - Reservations 1",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10704,29d0,"DCR Resv 2",A,"DCR - Reservations 2",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10736,29f0,"DCR FieldOps",A,"DCR Field Ops",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10768,2a10,"DCR Recs",A,"DCR - Recreations",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10800,2a30,"DCR Emergcy",A,"DCR - Emergency",Emergency Ops,"Mass Dept. of Conservation And Recreation (DCR)"
10832,2a50,"DCR ENG 1",A,"DCR Engineering 1 (State House Rangers)",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10864,2a70,"DCR ENG 2",A,"DCR Engineering 2",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10896,2a90,"DCR Ranger1",A,"DCR Ranger 1",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10928,2ab0,"DCR Ranger2",A,"DCR Ranger 2 (Boston Harbor Islands Natl Rec. Area)",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10960,2ad0,"DCR Special",A,"DCR Special",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
10992,2af0,"DCR WaterShd",A,"DCR Water Shed",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
11024,2b10,"DCR Reservoirs",A,"DCR - Quabbin and Wachusett Reservoirs ",Public Works,"Mass Dept. of Conservation And Recreation (DCR)"
11056,2b30,"DCR Fire 1",A,"DCR Fire 1",Fire-Talk,"Mass Dept. of Conservation And Recreation (DCR)"
11088,2b50,"DCR Fire 2",A,"DCR Fire 2",Fire-Talk,"Mass Dept. of Conservation And Recreation (DCR)"
12080,2f30,"Ch1A Water-1",A,"Ch1A Water-1",Public Works,"Mass Water Resources Authority (MWRA)"
